/Users/demir/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-09-15 12:48:49,979 - INFO - Downloaded: Skin-Defender-Lip-Eye-Make-Up-Remover-3.jpg
2025-09-15 12:48:50,041 - INFO - Downloaded: Skin-Defender-Lip-Eye-Make-Up-Remover-4.jpg
2025-09-15 12:48:50,100 - INFO - Downloaded: Skin-Defender-Lip-Eye-Make-Up-Remover-5.jpg
2025-09-15 12:48:51,110 - INFO - Processing product 12/60: Epi Turnover Boosting Peeling Gel 100 ml
2025-09-15 12:48:51,110 - INFO - Fetching: https://nurederm.com/urun/epi-turnover-boosting-peeling-gel-100-ml
2025-09-15 12:48:51,488 - INFO - Downloaded: Epi-Turnover-Boosting-Peeling-Gel-100-ml-1.jpg
2025-09-15 12:48:51,512 - INFO - Downloaded: Epi-Turnover-Boosting-Peeling-Gel-100-ml-2.jpg
2025-09-15 12:48:51,567 - INFO - Downloaded: Epi-Turnover-Boosting-Peeling-Gel-100-ml-3.jpg
2025-09-15 12:48:51,621 - INFO - Downloaded: Epi-Turnover-Boosting-Peeling-Gel-100-ml-4.jpg
2025-09-15 12:48:51,675 - INFO - Downloaded: Epi-Turnover-Boosting-Peeling-Gel-100-ml-5.jpg
2025-09-15 12:48:52,679 - INFO - Processing product 13/60: MFS (Multi Functional Serum) 30 ml
2025-09-15 12:48:52,680 - INFO - Fetching: https://nurederm.com/urun/mfs-multi-functional-serum-30-ml
2025-09-15 12:48:52,814 - INFO - Downloaded: MFS-Multi-Functional-Serum-30-ml-1.jpg
2025-09-15 12:48:52,835 - INFO - Downloaded: MFS-Multi-Functional-Serum-30-ml-2.jpg
2025-09-15 12:48:52,881 - INFO - Downloaded: MFS-Multi-Functional-Serum-30-ml-3.jpg
2025-09-15 12:48:52,939 - INFO - Downloaded: MFS-Multi-Functional-Serum-30-ml-4.jpg
2025-09-15 12:48:52,999 - INFO - Downloaded: MFS-Multi-Functional-Serum-30-ml-5.jpg
2025-09-15 12:48:54,004 - INFO - Processing product 14/60: PCS (Problem Control Serum) 30 ml
2025-09-15 12:48:54,005 - INFO - Fetching: https://nurederm.com/urun/pcs-problem-control-serum-30-ml
2025-09-15 12:48:54,167 - INFO - Downloaded: PCS-Problem-Control-Serum-30-ml-1.jpg
2025-09-15 12:48:54,187 - INFO - Downloaded: PCS-Problem-Control-Serum-30-ml-2.jpg
2025-09-15 12:48:54,231 - INFO - Downloaded: PCS-Problem-Control-Serum-30-ml-3.jpg
2025-09-15 12:48:54,292 - INFO - Downloaded: PCS-Problem-Control-Serum-30-ml-4.jpg
2025-09-15 12:48:54,352 - INFO - Downloaded: PCS-Problem-Control-Serum-30-ml-5.jpg
2025-09-15 12:48:55,360 - INFO - Processing product 15/60: AFS (All For Sensitive Serum) 30 ml
2025-09-15 12:48:55,361 - INFO - Fetching: https://nurederm.com/urun/afs-all-for-sensitive-serum-30-ml
2025-09-15 12:48:55,489 - INFO - Downloaded: AFS-All-For-Sensitive-Serum-30-ml-1.jpg
2025-09-15 12:48:55,511 - INFO - Downloaded: AFS-All-For-Sensitive-Serum-30-ml-2.jpg
2025-09-15 12:48:55,555 - INFO - Downloaded: AFS-All-For-Sensitive-Serum-30-ml-3.jpg
2025-09-15 12:48:55,622 - INFO - Downloaded: AFS-All-For-Sensitive-Serum-30-ml-4.jpg
2025-09-15 12:48:55,687 - INFO - Downloaded: AFS-All-For-Sensitive-Serum-30-ml-5.jpg
2025-09-15 12:48:56,697 - INFO - Processing product 16/60: MVS (Multi Vita Radiance Serum) 30 ml
2025-09-15 12:48:56,697 - INFO - Fetching: https://nurederm.com/urun/mvs-multi-vita-radiance-serum-30-ml
2025-09-15 12:48:56,950 - INFO - Downloaded: MVS-Multi-Vita-Radiance-Serum-30-ml-1.jpg
2025-09-15 12:48:56,973 - INFO - Downloaded: MVS-Multi-Vita-Radiance-Serum-30-ml-2.jpg
2025-09-15 12:48:57,023 - INFO - Downloaded: MVS-Multi-Vita-Radiance-Serum-30-ml-3.jpg
2025-09-15 12:48:57,087 - INFO - Downloaded: MVS-Multi-Vita-Radiance-Serum-30-ml-4.jpg
2025-09-15 12:48:57,153 - INFO - Downloaded: MVS-Multi-Vita-Radiance-Serum-30-ml-5.jpg
2025-09-15 12:48:58,159 - INFO - Processing product 17/60: MHS (Moisture Replenishing Hyaluron Serum) 30ml
2025-09-15 12:48:58,159 - INFO - Fetching: https://nurederm.com/urun/mhs-moisture-replenishing-hyaluron-serum-30ml
2025-09-15 12:48:58,299 - INFO - Downloaded: MHS-Moisture-Replenishing-Hyaluron-Serum-30ml-1.jpg
2025-09-15 12:48:58,320 - INFO - Downloaded: MHS-Moisture-Replenishing-Hyaluron-Serum-30ml-2.jpg
2025-09-15 12:48:58,367 - INFO - Downloaded: MHS-Moisture-Replenishing-Hyaluron-Serum-30ml-3.jpg
2025-09-15 12:48:58,426 - INFO - Downloaded: MHS-Moisture-Replenishing-Hyaluron-Serum-30ml-4.jpg
2025-09-15 12:48:58,484 - INFO - Downloaded: MHS-Moisture-Replenishing-Hyaluron-Serum-30ml-5.jpg
2025-09-15 12:48:59,486 - INFO - Processing product 18/60: MFC (Multi Functional Anti Wrinkle Cream) 50 ml
